date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date,trade_date
3/04,2412,凱基-台北,9268,1699,810,889,3.7,2,buy,2026-03-05,2026-03-04
3/04,3034,彰銀,1230,20,0,20,0.52,11,buy,2026-03-05,2026-03-04
3/04,3034,美商高盛,1480,124,243,-119,3.07,4,sell,2026-03-05,2026-03-04
3/04,2412,國泰-板橋,003800380038004b,10,126,-116,0.48,11,sell,2026-03-05,2026-03-04
3/04,2412,國泰證券,8880,503,4,499,2.07,6,buy,2026-03-05,2026-03-04
3/04,2412,元大證券,9800,2060,1420,640,2.66,5,buy,2026-03-05,2026-03-04
3/04,3034,永豐金-台中,003900410039004c,12,0,12,0.31,14,buy,2026-03-05,2026-03-04
3/04,2379,兆豐證券,7000,143,0,143,3.27,3,buy,2026-03-05,2026-03-04
3/04,2603,永豐金證券,0039004100300030,1654,702,952,1.46,3,buy,2026-03-05,2026-03-04
3/04,3034,兆豐-北高雄,0037003000300049,0,13,-13,0.34,14,sell,2026-03-05,2026-03-04
3/04,2603,統一,5850,612,267,345,0.53,8,buy,2026-03-05,2026-03-04
3/04,2412,新光,8560,21,87,-66,0.27,12,sell,2026-03-05,2026-03-04
3/04,2412,富邦證券,9600,128,295,-167,0.69,9,sell,2026-03-05,2026-03-04
3/04,3034,台灣摩根士丹利,1470,162,592,-430,11.09,1,sell,2026-03-05,2026-03-04
3/04,2412,宏遠-館前,0031003200360055,0,2001,-2001,8.32,2,sell,2026-03-05,2026-03-04
3/04,3034,元富-台中,0039004200320035,84,0,84,2.17,4,buy,2026-03-05,2026-03-04
3/04,3034,永豐金-匯立,0039004100380031,473,0,473,12.19,1,buy,2026-03-05,2026-03-04
3/04,2412,台灣摩根士丹利,1470,2484,1625,859,3.57,3,buy,2026-03-05,2026-03-04
3/04,2412,台新-三民,8156,294,84,210,0.87,11,buy,2026-03-05,2026-03-04
3/04,3006,元大-內湖,003900380039004e,728,607,121,0.61,6,buy,2026-03-05,2026-03-04
3/04,2379,美林,1440,209,257,-48,1.1,8,sell,2026-03-05,2026-03-04
3/04,3034,統一,5850,1,15,-14,0.36,13,sell,2026-03-05,2026-03-04
3/04,2379,永豐金-竹科,0039004100390058,21,1,20,0.46,15,buy,2026-03-05,2026-03-04
3/04,2412,美商高盛,1480,3103,2095,1008,4.19,1,buy,2026-03-05,2026-03-04
3/04,3034,永豐金-永康,0039004100390063,1,15,-14,0.36,11,sell,2026-03-05,2026-03-04
3/04,2412,花旗環球,1590,304,505,-201,0.84,7,sell,2026-03-05,2026-03-04
3/04,2412,凱基-中山,9229,5,38,-33,0.14,14,sell,2026-03-05,2026-03-04
3/04,2412,富邦-板橋,9655,21,50,-29,0.12,15,sell,2026-03-05,2026-03-04
3/04,2345,永豐金-匯立,0039004100380031,18,232,-214,4.19,2,sell,2026-03-05,2026-03-04
3/04,3006,富邦-樹林,0039003600320045,15,115,-100,0.5,8,sell,2026-03-05,2026-03-04
3/04,2379,統一-內湖,0035003800350062,24,0,24,0.55,10,buy,2026-03-05,2026-03-04
3/04,3034,華南永昌,9300,254,26,228,5.88,3,buy,2026-03-05,2026-03-04
3/04,2379,台新-高雄,0038003100350041,22,0,22,0.5,12,buy,2026-03-05,2026-03-04
3/04,3006,富邦證券,9600,77,166,-89,0.45,10,sell,2026-03-05,2026-03-04
3/04,2412,永豐金證券,0039004100300030,592,344,248,1.03,9,buy,2026-03-05,2026-03-04
3/04,2412,香港上海匯豐,8960,26,804,-778,3.23,4,sell,2026-03-05,2026-03-04
3/04,2379,華南永昌-苗栗,9362,0,18,-18,0.41,15,sell,2026-03-05,2026-03-04
3/04,2412,群益金鼎,9100,885,691,194,0.81,12,buy,2026-03-05,2026-03-04
3/04,3034,富邦-新竹,9647,15,4,11,0.28,15,buy,2026-03-05,2026-03-04
3/04,3034,永豐金證券,0039004100300030,78,38,40,1.03,7,buy,2026-03-05,2026-03-04
3/04,2412,法銀巴黎,8900,1,185,-184,0.76,8,sell,2026-03-05,2026-03-04
3/04,2618,玉山證券,8840,506,64,442,0.93,4,buy,2026-03-05,2026-03-04
3/04,2609,港商野村,1560,109,4671,-4562,1.59,6,sell,2026-03-05,2026-03-04
3/04,3006,統一,5850,16,69,-53,0.27,15,sell,2026-03-05,2026-03-04
3/04,2379,花旗環球,1590,57,430,-373,8.54,2,sell,2026-03-05,2026-03-04
3/04,2345,合庫-三重,0031003000320047,17,2,15,0.29,12,buy,2026-03-05,2026-03-04
3/04,2412,兆豐證券,7000,317,0,317,1.32,8,buy,2026-03-05,2026-03-04
3/04,2379,元大證券,9800,464,362,102,2.34,4,buy,2026-03-05,2026-03-04
3/04,2345,富邦證券,9600,14,30,-16,0.31,15,sell,2026-03-05,2026-03-04
3/04,3006,元富-安南,003900420032005a,100,6,94,0.47,10,buy,2026-03-05,2026-03-04
3/04,2379,台灣摩根士丹利,1470,192,880,-688,15.75,1,sell,2026-03-05,2026-03-04
3/04,2379,摩根大通,8440,441,563,-122,2.79,3,sell,2026-03-05,2026-03-04
3/04,3006,元大-南屯,9853,124,22,102,0.51,8,buy,2026-03-05,2026-03-04
3/04,3006,美商高盛,1480,2008,1104,904,4.54,2,buy,2026-03-05,2026-03-04
3/04,3037,台新-建北,8151,52,143,-91,0.33,15,sell,2026-03-05,2026-03-04
3/04,2345,永豐金證券,0039004100300030,32,79,-47,0.92,9,sell,2026-03-05,2026-03-04
3/04,2412,永豐金-匯立,0039004100380031,20,172,-152,0.63,10,sell,2026-03-05,2026-03-04
3/04,2615,元大證券,9800,15459,16586,-1127,0.93,4,sell,2026-03-05,2026-03-04
3/04,3006,國泰-敦南,8888,221,287,-66,0.33,11,sell,2026-03-05,2026-03-04
3/04,2345,香港上海匯豐,8960,10,33,-23,0.45,12,sell,2026-03-05,2026-03-04
